iter	Accuracy	CrossEntropy
0	0.8203125	0.6883395129
1	0.71875	0.6858181806
2	0.7890625	0.6792655636
3	0.7578125	0.6753478312
4	0.7265625	0.6721655648
5	0.6875	0.66941712
6	0.703125	0.6642751581
7	0.734375	0.6593606117
8	0.7109375	0.6574134413
9	0.71875	0.6534767835
10	0.734375	0.6500180877
11	0.7265625	0.6458233862
12	0.7265625	0.6432282041
13	0.7265625	0.6422272891
14	0.7265625	0.6371845086
15	0.7265625	0.6350490499
16	0.7265625	0.6309719391
17	0.7265625	0.628647746
18	0.71875	0.625684517
19	0.71875	0.6237809136
20	0.71875	0.6226595062
21	0.7265625	0.6190199181
22	0.7265625	0.6156469897
23	0.7265625	0.6132363011
24	0.7421875	0.6089379317
25	0.7421875	0.6052751896
26	0.7421875	0.6021079676
27	0.7421875	0.5999832868
28	0.7421875	0.5976801678
29	0.7421875	0.5962561308
30	0.7421875	0.5928995622
31	0.7421875	0.5905123024
32	0.75	0.58813202
33	0.75	0.5854436566
34	0.75	0.5846103604
35	0.75	0.5828361351
36	0.7421875	0.5803837273
37	0.7734375	0.577775005
38	0.7734375	0.5752308743
39	0.75	0.5744293469
40	0.75	0.5727114517
41	0.7734375	0.5703951893
42	0.75	0.5677901787
43	0.7578125	0.5651730342
44	0.75	0.5649403044
45	0.765625	0.5630160231
46	0.765625	0.5609229628
47	0.765625	0.5587030086
48	0.765625	0.5563067134
49	0.7890625	0.5535087544
50	0.8046875	0.5511737946
51	0.7890625	0.5507209895
52	0.7890625	0.5502070823
53	0.7890625	0.5478492815
54	0.7890625	0.5455365598
55	0.78125	0.5448452726
56	0.796875	0.5430191478
57	0.796875	0.5411804989
58	0.796875	0.5386340381
59	0.796875	0.5361469396
60	0.8046875	0.5330387485
61	0.796875	0.5312660944
62	0.8203125	0.5287645661
63	0.8125	0.5286360645
64	0.8125	0.5266370239
65	0.8203125	0.5240615373
66	0.8203125	0.5225722632
67	0.8203125	0.5222203469
68	0.8125	0.5185698701
69	0.8203125	0.5183357221
70	0.8203125	0.5158162656
71	0.84375	0.512911344
72	0.8515625	0.5117610687
73	0.859375	0.5098228356
74	0.859375	0.5078219645
