iter	Passed	Remaining
0	33	66710
1	43	43344
2	49	33211
3	55	27683
4	59	23927
5	65	21656
6	68	19626
7	72	18078
8	77	17181
9	81	16192
10	85	15500
11	89	14786
12	93	14273
13	97	13799
14	101	13380
15	104	12991
16	107	12506
17	110	12196
18	114	11982
19	118	11762
20	122	11516
21	125	11303
22	128	11056
23	132	10900
24	136	10763
25	139	10614
26	143	10476
27	147	10413
28	151	10297
29	155	10214
30	159	10120
31	163	10074
32	167	9981
33	171	9899
34	175	9829
35	178	9722
36	182	9660
37	186	9605
38	189	9524
39	192	9456
40	196	9409
41	200	9353
42	204	9296
43	208	9251
44	212	9212
45	215	9168
46	219	9115
47	223	9074
48	226	9029
49	231	9030
50	235	9018
51	237	8903
52	241	8867
53	254	9179
54	261	9237
55	267	9268
56	273	9323
57	278	9339
58	283	9334
59	288	9335
60	292	9295
61	296	9263
62	299	9221
63	303	9195
64	307	9161
65	311	9133
66	315	9105
67	318	9059
68	323	9057
69	327	9033
70	331	8994
71	335	8974
72	338	8948
73	342	8923
74	346	8896
75	350	8871
76	354	8842
77	358	8844
78	363	8848
79	368	8836
80	373	8848
81	377	8824
82	380	8795
83	385	8803
84	387	8727
85	392	8731
86	396	8707
87	397	8645
88	401	8625
89	406	8628
90	411	8629
91	415	8607
92	420	8614
93	424	8605
94	428	8601
95	435	8638
96	444	8716
97	455	8845
98	462	8890
99	468	8897
100	473	8909
101	477	8889
102	482	8883
103	487	8890
104	492	8897
105	498	8913
106	504	8923
107	510	8941
108	514	8927
109	518	8909
110	523	8900
111	526	8880
112	531	8879
113	536	8871
114	540	8853
115	545	8853
116	546	8798
117	551	8790
118	557	8807
119	562	8808
120	566	8798
121	571	8799
122	576	8793
123	580	8777
124	584	8771
125	588	8752
126	593	8745
127	597	8731
128	602	8741
129	607	8736
130	611	8720
131	615	8705
132	620	8704
133	623	8687
134	630	8708
135	635	8710
136	641	8725
137	647	8739
138	653	8748
139	658	8744
140	663	8744
141	667	8734
142	673	8751
143	678	8739
144	682	8725
145	685	8707
146	689	8690
147	693	8674
148	696	8655
149	700	8643
150	704	8625
151	708	8614
152	712	8598
153	716	8589
154	720	8572
155	723	8554
156	727	8541
157	732	8536
158	737	8540
159	741	8524
160	745	8510
161	748	8493
162	752	8485
163	757	8479
164	761	8464
165	764	8446
166	768	8430
167	771	8416
168	775	8401
169	778	8383
170	781	8362
171	785	8347
172	788	8332
173	792	8318
174	796	8301
175	799	8286
176	803	8271
177	807	8260
178	810	8247
179	815	8245
180	818	8228
181	822	8217
182	826	8205
183	833	8223
184	836	8208
185	839	8183
186	844	8189
187	851	8210
188	862	8265
189	866	8252
190	870	8240
191	874	8230
192	880	8241
193	885	8242
194	890	8239
195	894	8233
196	898	8219
197	902	8217
198	906	8205
199	911	8206
200	915	8197
201	919	8187
202	923	8177
203	927	8165
204	932	8163
205	936	8158
206	940	8143
207	944	8135
208	950	8141
209	955	8146
210	960	8144
211	965	8144
212	971	8146
213	974	8136
214	979	8133
215	984	8130
216	987	8117
217	993	8122
218	998	8117
219	1002	8113
220	1010	8136
221	1015	8131
222	1019	8126
223	1026	8136
224	1030	8128
225	1034	8122
226	1044	8161
227	1056	8209
228	1062	8214
229	1067	8212
230	1073	8222
231	1077	8209
232	1082	8206
233	1088	8214
234	1096	8234
235	1100	8229
236	1106	8228
237	1112	8236
238	1124	8288
239	1129	8285
240	1134	8277
241	1138	8274
242	1143	8268
243	1147	8258
244	1151	8252
245	1155	8240
246	1159	8229
247	1163	8222
248	1168	8215
249	1172	8210
250	1177	8201
251	1180	8188
252	1186	8191
253	1190	8184
254	1193	8170
255	1197	8159
256	1203	8161
257	1207	8149
258	1210	8138
259	1218	8152
260	1222	8144
261	1230	8160
262	1241	8199
263	1252	8233
264	1255	8221
265	1259	8211
266	1263	8198
267	1268	8197
268	1272	8188
269	1276	8181
270	1280	8172
271	1284	8162
272	1288	8150
273	1293	8148
274	1297	8138
275	1301	8130
276	1305	8118
277	1308	8107
278	1313	8101
279	1315	8082
280	1319	8072
281	1323	8060
282	1326	8050
283	1331	8045
284	1335	8036
285	1339	8029
286	1343	8017
287	1347	8009
288	1350	7996
289	1355	7991
290	1359	7981
291	1363	7972
292	1365	7957
293	1369	7948
294	1373	7940
295	1377	7930
296	1382	7925
297	1385	7915
298	1390	7908
299	1395	7908
300	1400	7903
301	1405	7903
302	1410	7900
303	1415	7898
304	1420	7896
305	1425	7890
306	1432	7899
307	1439	7905
308	1447	7921
309	1451	7910
310	1454	7900
311	1457	7886
312	1464	7894
313	1470	7895
314	1476	7897
315	1482	7898
316	1485	7884
317	1489	7877
318	1493	7869
319	1497	7861
320	1501	7852
321	1505	7843
322	1509	7837
323	1513	7828
324	1518	7825
325	1521	7813
326	1525	7807
327	1531	7804
328	1534	7794
329	1538	7786
330	1544	7788
331	1548	7778
332	1552	7771
333	1555	7757
334	1559	7751
335	1563	7741
336	1567	7733
337	1570	7724
338	1574	7715
339	1579	7709
340	1582	7700
341	1587	7693
342	1591	7687
343	1595	7682
344	1600	7675
345	1603	7667
346	1608	7662
347	1612	7653
348	1618	7654
349	1625	7661
350	1632	7670
351	1640	7679
352	1646	7680
353	1649	7671
354	1652	7657
355	1659	7661
356	1662	7653
357	1666	7643
358	1670	7635
359	1675	7631
360	1679	7626
361	1683	7618
362	1687	7609
363	1691	7601
364	1695	7592
365	1699	7586
366	1703	7578
367	1707	7570
368	1710	7561
369	1714	7553
370	1718	7544
371	1723	7543
372	1727	7533
373	1730	7523
374	1734	7516
375	1738	7507
