id,text,created_at,retweet_count,favorite_count,source,length,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location,user_statuses_count,user_verified,user_url,tokenized_text,token_texts,no_of_question_marks,no_of_exclamation_marks,no_of_hashtags,no_of_mentions,cleaned_text,no_of_colon_marks,no_of_words,no_of_uppercase_words,user_has_url?
1187835173347438592,"#Tunisia: President Kais Saied met on Friday Nabil Karoui, president of ""Qalb Tounes"" party who said his party back… https://t.co/3YUWIeklKo",2019-10-25 20:55:48,2,0,Twitter for Android,140,1107922323175297024,TapNewsAgency,TAP news agency,2019-03-19 08:30:40,TAP news agency... reliable source for timely news,1425,103,"Tunis, Tunisia 🇹🇳",3232,False,https://t.co/ApOu0cORlo,"['#Tunisia', ':', 'President', 'Kais', 'Saied', 'met', 'on', 'Friday', 'Nabil', 'Karoui', ',', 'president', 'of', '""', 'Qalb', 'Tounes', '""', 'party', 'who', 'said', 'his', 'party', 'back', '…', 'https://t.co/3YUWIeklKo']","['#Tunisia', ':', 'President', 'Kais', 'Saied', 'met', 'Friday', 'Nabil', 'Karoui', ',', 'president', '""', 'Qalb', 'Tounes', '""', 'party', 'said', 'party', 'back', '…', 'https://t.co/3YUWIeklKo']",0,0,1,0,"Tunisia President Kais Saied met on Friday Nabil Karoui president of ""Qalb Tounes"" party who said his party back… ",1,19,5,Yes
1187832668697878533,#Tunisia: President Kais Saied met Secretary General of @Attayar_Attayar Mohamed Abbou who said he spoke of his par… https://t.co/VlrZ7Lcsk1,2019-10-25 20:45:51,0,0,Twitter for Android,140,1107922323175297024,TapNewsAgency,TAP news agency,2019-03-19 08:30:40,TAP news agency... reliable source for timely news,1425,103,"Tunis, Tunisia 🇹🇳",3232,False,https://t.co/ApOu0cORlo,"['#Tunisia', ':', 'President', 'Kais', 'Saied', 'met', 'Secretary', 'General', 'of', '@Attayar_Attayar', 'Mohamed', 'Abbou', 'who', 'said', 'he', 'spoke', 'of', 'his', 'par', '…', 'https://t.co/VlrZ7Lcsk1']","['#Tunisia', ':', 'President', 'Kais', 'Saied', 'met', 'Secretary', 'General', '@Attayar_Attayar', 'Mohamed', 'Abbou', 'said', 'spoke', 'par', '…', 'https://t.co/VlrZ7Lcsk1']",0,0,1,1,Tunisia President Kais Saied met Secretary General of  Mohamed Abbou who said he spoke of his par… ,1,17,2,Yes
1187815193524555776,#Tunisia: preliminary results of @EnnahdhaParty's  consultations with a number of political parties and national or… https://t.co/9M0c4dM9Xg,2019-10-25 19:36:25,1,0,Twitter Web App,140,1107922323175297024,TapNewsAgency,TAP news agency,2019-03-19 08:30:40,TAP news agency... reliable source for timely news,1425,103,"Tunis, Tunisia 🇹🇳",3232,False,https://t.co/ApOu0cORlo,"['#Tunisia', ':', 'preliminary', 'results', 'of', '@EnnahdhaParty', ""'"", 's', 'consultations', 'with', 'a', 'number', 'of', 'political', 'parties', 'and', 'national', 'or', '…', 'https://t.co/9M0c4dM9Xg']","['#Tunisia', ':', 'preliminary', 'results', '@EnnahdhaParty', ""'"", 'consultations', 'number', 'political', 'parties', 'national', '…', 'https://t.co/9M0c4dM9Xg']",0,0,1,1,Tunisia preliminary results of 's  consultations with a number of political parties and national or… ,1,15,3,Yes
1187798838725267456,"#Tunisia's new president Kais Saied invited his former electoral rival, Nabil Karoui, to the presidential palace to… https://t.co/STG7adC6k1",2019-10-25 18:31:26,9,14,Twitter Web App,140,618163758,sh_grewal,Sharan Grewal,2012-06-25 13:13:10,"Assistant Professor @WilliamAndMary and Visiting Fellow @BrookingsFP. North Africa, civmil, religion. @Princeton PhD.",3098,696,"Washington, DC",2957,False,https://t.co/3nxoL3Cs1n,"[""#Tunisia's"", 'new', 'president', 'Kais', 'Saied', 'invited', 'his', 'former', 'electoral', 'rival', ',', 'Nabil', 'Karoui', ',', 'to', 'the', 'presidential', 'palace', 'to', '…', 'https://t.co/STG7adC6k1']","[""#Tunisia's"", 'new', 'president', 'Kais', 'Saied', 'invited', 'former', 'electoral', 'rival', ',', 'Nabil', 'Karoui', ',', 'presidential', 'palace', '…', 'https://t.co/STG7adC6k1']",0,0,1,0,Tunisia's new president Kais Saied invited his former electoral rival Nabil Karoui to the presidential palace to… ,0,18,3,Yes
1187693350067101696,Kais said can suck my dick and my beloved compatriots who voted for him can suck ny dick cause they’re not better t… https://t.co/dDcMWH2kQp,2019-10-25 11:32:15,0,0,Twitter for iPhone,140,4690219514,USHIJIMYEAH,AZIZA//MAKING HER WAY IN PHARM SCHOOL,2016-01-01 15:56:00,19🦜birb mom🦜i do art🦜plays tennis and vb🦜multifandom trash🦜talk to me I’m friendly 🦜 AR/ FR/ ENG/ ESP/ JPN🦜 HQ!!✨TPN✨BNHA✨& MORE!!✨,806,293,Shiratorizawa is the best team,17008,False,https://t.co/rf2CtHWWW7,"['Kais', 'said', 'can', 'suck', 'my', 'dick', 'and', 'my', 'beloved', 'compatriots', 'who', 'voted', 'for', 'him', 'can', 'suck', 'ny', 'dick', 'cause', 'they', '’', 're', 'not', 'better', 't', '…', 'https://t.co/dDcMWH2kQp']","['Kais', 'said', 'suck', 'dick', 'beloved', 'compatriots', 'voted', 'suck', 'ny', 'dick', 'cause', '’', 'better', '…', 'https://t.co/dDcMWH2kQp']",0,0,0,0,Kais said can suck my dick and my beloved compatriots who voted for him can suck ny dick cause they’re not better t… ,0,24,2,Yes
1187691227338158080,"Kais said can kiss my ass, he is not my president and will never be. Period.",2019-10-25 11:23:49,0,0,Twitter for iPhone,76,4690219514,USHIJIMYEAH,AZIZA//MAKING HER WAY IN PHARM SCHOOL,2016-01-01 15:56:00,19🦜birb mom🦜i do art🦜plays tennis and vb🦜multifandom trash🦜talk to me I’m friendly 🦜 AR/ FR/ ENG/ ESP/ JPN🦜 HQ!!✨TPN✨BNHA✨& MORE!!✨,806,293,Shiratorizawa is the best team,17008,False,https://t.co/rf2CtHWWW7,"['Kais', 'said', 'can', 'kiss', 'my', 'ass', ',', 'he', 'is', 'not', 'my', 'president', 'and', 'will', 'never', 'be', '.', 'Period', '.']","['Kais', 'said', 'kiss', 'ass', ',', 'president', 'never', '.', 'Period', '.']",0,0,0,0,Kais said can kiss my ass he is not my president and will never be Period,0,16,3,Yes
1187669134760448000,"“The time has come to put an end to the oppression of the Palestinians,” Kais Saied said. “Our stance towards Pales… https://t.co/iuKM7PcNkE",2019-10-25 09:56:02,0,1,Twitter Web App,140,21683811,IgnitionUK,Simon S. Cordall,2009-02-23 19:32:06,"Freelance journalist, gentleman explorer and noted raconteur.   Bylines in: lots of stuff",2296,512,Tunis,10789,False,,"['“', 'The', 'time', 'has', 'come', 'to', 'put', 'an', 'end', 'to', 'the', 'oppression', 'of', 'the', 'Palestinians', ',', '”', 'Kais', 'Saied', 'said', '.', '“', 'Our', 'stance', 'towards', 'Pales', '…', 'https://t.co/iuKM7PcNkE']","['“', 'time', 'come', 'put', 'end', 'oppression', 'Palestinians', ',', '”', 'Kais', 'Saied', 'said', '.', '“', 'stance', 'towards', 'Pales', '…', 'https://t.co/iuKM7PcNkE']",0,0,0,0,“The time has come to put an end to the oppression of the Palestinians” Kais Saied said “Our stance towards Pales… ,0,21,6,No
1187605988234448896,Tunisia’s newly-elected President Kais Saied said Palestine is engraved in the hearts of Tunisians and the time has… https://t.co/ZQvkXGw2Gf,2019-10-25 05:45:06,17,28,Hootsuite Inc.,140,81136269,MiddleEastMnt,Middle East Monitor,2009-10-09 15:43:11,Bringing a fair & accurate coverage of the Middle East to the West // Community Guidelines apply: https://t.co/6IBtFBwD5f,100279,1388,"London, UK",130221,True,https://t.co/U9MmCfanJD,"['Tunisia', '’', 's', 'newly-elected', 'President', 'Kais', 'Saied', 'said', 'Palestine', 'is', 'engraved', 'in', 'the', 'hearts', 'of', 'Tunisians', 'and', 'the', 'time', 'has', '…', 'https://t.co/ZQvkXGw2Gf']","['Tunisia', '’', 'newly-elected', 'President', 'Kais', 'Saied', 'said', 'Palestine', 'engraved', 'hearts', 'Tunisians', 'time', '…', 'https://t.co/ZQvkXGw2Gf']",0,0,0,0,Tunisia’s newly-elected President Kais Saied said Palestine is engraved in the hearts of Tunisians and the time has… ,0,20,2,Yes
1187495416507621380,"Today, Kais Said was inaugurated president of #Tunisia, marking the country's first peaceful transfer of power betw… https://t.co/pqZY00MFtF",2019-10-24 22:25:44,1,1,Twitter Web App,140,727316106843574272,BagalueSunab,Caribbean disaster,2016-05-03 01:57:27,We are a member of the coalition of small island and low-lying coastal countries that share similar development challenges and concerns,2283,3221,Trinidad and Tobago,153592,False,,"['Today', ',', 'Kais', 'Said', 'was', 'inaugurated', 'president', 'of', '#Tunisia', ',', 'marking', 'the', ""country's"", 'first', 'peaceful', 'transfer', 'of', 'power', 'betw', '…', 'https://t.co/pqZY00MFtF']","['Today', ',', 'Kais', 'Said', 'inaugurated', 'president', '#Tunisia', ',', 'marking', ""country's"", 'first', 'peaceful', 'transfer', 'power', 'betw', '…', 'https://t.co/pqZY00MFtF']",0,0,1,0,Today Kais Said was inaugurated president of Tunisia marking the country's first peaceful transfer of power betw… ,0,18,3,No
1187468162834432006,"One of the best moments captured yesterday 

Kais Said: The Tunisian president https://t.co/80OrgcfT3U",2019-10-24 20:37:26,16,80,Twitter for iPhone,102,4306019783,tunpost,تونس ☪︎ Tunisia,2015-11-28 10:14:18,𝗬𝗼𝘂𝗿 𝗴𝗮𝘁𝗲 𝘁𝗼 #𝗧𝘂𝗻𝗶𝘀𝗶𝗮 ⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀ ⠀ We own nothing of the content posted...Just sharing..,11591,1,Credits to owners,2883,False,,"['One', 'of', 'the', 'best', 'moments', 'captured', 'yesterday', 'Kais', 'Said', ':', 'The', 'Tunisian', 'president', 'https://t.co/80OrgcfT3U']","['One', 'best', 'moments', 'captured', 'yesterday', 'Kais', 'Said', ':', 'Tunisian', 'president', 'https://t.co/80OrgcfT3U']",0,0,0,0,"One of the best moments captured yesterday 

Kais Said The Tunisian president ",1,12,1,No
